"Country","year","NOx.Emission.Gg.","NOx.Reduction.Gg.","MIO.VKM","Electric.vehicles...","NOx.Avg.Level.Year"
"France",2014,515,889.8019803,595719,0.69792684,39.402
"France",2015,501,863.41457713,603826,1.186645085,37.663134615
"France",2016,476,812.73442582,613562,1.474092479,36.155804124
"France",2017,450,778.71647037,638134.183,1.745029969,35.453262136
"France",2018,419,726.09797775,639405.333,2.046166297,33.4168
"France",2019,389,679.66280503,647331.336,2.774251096,30.934747475
"France",2020,304,572.89546058,529898.855,NA,24.499469388
"France",2021,322,600.75560263,580436.646,NA,25.473857143
"France",2022,304,561.21879862,628217.242,NA,25.666767677
"Netherlands",2014,91.5,234.68145215,132198,3.928646943,37.667181818
"Netherlands",2015,87.8,231.69558611,134129,9.695438429,34.674727273
"Netherlands",2016,83.6,225.19691092,137838,5.908010959,34.891181818
"Netherlands",2017,83.9,213.42814353,139865,2.194634806,34.160952381
"Netherlands",2018,84.9,211.05867365,140371,6.116609925,31.8652
"Netherlands",2019,78.5,199.62972591,140709,15.101745298,30.021619048
"Netherlands",2020,61.1,175.71444503,121675,NA,24.569380952
"Netherlands",2021,58.7,171.95397326,127854,NA,24.577714286
"Netherlands",2022,55,163.58292668,134061,NA,24.636190476
"Sweden",2014,68,138.056299346,79221,1.539109435,25.11683871
"Sweden",2015,65,133.720067723,80736,2.51314089,26.011730769
"Sweden",2016,62,131.049030177,82602,3.580301627,23.651948718
"Sweden",2017,58,125.125347964,83896,5.284079227,21.477177778
"Sweden",2018,54,121.442008237,84536,8.118340987,21.208652174
"Sweden",2019,47,112.56645224,83723,11.331353215,20.331704545
"Sweden",2020,41,102.33976223,77759.139,NA,15.070387755
"Sweden",2021,39,101.790083405,80139,NA,15.232301887
"Sweden",2022,36,98.267850968,81795,NA,14.661759259
"Spain",2014,302,712.47888196,222689,0.160176217,28.059836538
"Spain",2015,304,730.86336477,230840,0.214458651,29.759951456
"Spain",2016,299,683.30845209,239353,0.311855115,27.523412844
"Spain",2017,292,671.5363793,244661,0.582947549,28.866789474
"Spain",2018,286,662.43500399,250192,0.859972242,25.943754386
"Spain",2019,269,598.98060532,252055,1.327775386,24.478435897
"Spain",2020,211,510.955560562,195687,NA,19.315258621
"Spain",2021,223,530.99356163,239946,NA,19.610923729
"Spain",2022,210,508.00862668,254459,NA,20.381454545
